typeFreq	A	B	C	D	E	F
NA	a	lll	r	x	dd	iiii
NA	a	g	rrr	x	dd	jj
NA	a	g	m	xxx	dd	jj
NA	aaa	g	m	s	dddd	jj
NA	b	ggg	m	s	y	jjjj
NA	b	h	mmm	s	y	ee
NA	b	h	n	sss	y	ee
NA	bbb	h	n	t	yyy	ee
NA	c	hhh	n	t	z	eeee
NA	c	i	nnn	t	z	ff
NA	c	i	o	ttt	z	ff
NA	ccc	i	o	u	zzz	ff
NA	d	iii	o	u	aa	ffff
NA	d	j	ooo	u	aa	gg
NA	d	j	p	uuu	aa	gg
NA	ddd	j	p	v	aaaa	gg
NA	e	jjj	p	v	bb	gggg
NA	e	k	ppp	v	bb	hh
NA	e	k	q	vvv	bb	hh
NA	eee	k	q	w	bbbb	hh
NA	f	kkk	q	w	cc	hhhh
NA	f	l	qqq	w	cc	ii
NA	f	l	r	www	cc	ii
NA	fff	l	r	x	cccc	ii
