typeFreq	NomSg	GenSg	AccSg	NomPl	GenPl	AccPl
277	aQs	aQ	aQ	aQdes	aQdon	aQdes
21	Qas	Qa	Qa	aQdes	aQdon	aQdes
9	Q2as	Q2a	Q2a	aQdes	aQdon	aQdes
244	Qas	Qa	Qa	Qes	Qon	Qes
194	Qas	Qa	Qa	Qes	oQn	Qes
393	Q2as	Q2a	Q2a	Q2es	Qon	Q2es
653	iQs	iQ	iQ	eQs	oQn	eQs
815	Qis	Qi	Qi	Qes	oQn	Qes
128	iQs	iQ	iQ	iQdes	iQdon	iQdes
307	Qis	Qi	Qi	Qides	Qidon	Qides
6	Q2is	Q2i	Q2i	Qides	Qidon	Qides
108	eQs	eQ	eQ	eQdes	eQdon	eQdes
7	Qes	Qe	Qe	Qides	Qidon	Qides
3	uQs	uQ	uQ	uQdes	uQdon	uQdes
9	Qus	Qu	Qu	Qi	Qon	Qus
1711	oQs	uQ	oQ	iQ	oQn	uQs
465	Q2os	Qu	Q2o	Q2i	Qon	Qus
1324	Qos	Qu	Qo	Qi	Qon	Qus
587	Q2os	Q2u	Q2o	Q2i	Q2on	Q2us
87	eQas	eQa	eQa	iQs	eQon	iQs
7	iQs	iQ	iQ	iQs	oQn	iQs
11	aQ	aQs	aQ	aQdes	aQdon	aQdes
844	aQ	aQs	aQ	eQs	oQn	eQs
443	Qa	Qas	Qa	Qes	Qon	Qes
3433	Qa	Qas	Qa	Qes	oQn	Qes
1172	Q2a	Q2as	Q2a	Q2es	oQn	Q2es
696	Q2a	Q2as	Q2a	Q2es	Qon	Q2es
805	iQ	iQs	iQ	eQs	oQn	eQs
453	Qi	Qis	Qi	Qes	oQn	Qes
98	Qi	Qis	Qi	Qis	Qeon	Qis
2412	Q2i	Q2is	Q2i	Qis	Qeon	Qis
110	uQ	uQs	uQ	uQdes	uQdon	uQdes
9	Qo	Qos	Qo	Qes	Qon	Qes
328	oQ	uQ	oQ	aQ	onQ	aQ
765	Qo	Qu	Qo	Qa	Qon	Qa
1400	Q2o	Q2u	Q2o	Q2a	Q2on	Q2a
947	Q2o	Qu	Q2o	Q2a	Qon	Q2a
163	ZEROQ	uQ	ZEROQ	aQ	oQn	aQ
1385	QZERO	uQ	QZERO	Qa	oQn	Qa
27	Qi	giuQ	Qi	Qgia	gioQn	Qgia
84	Qos	Qus	Qos	Qi	oQn	Qi
16	Q2os	Qus	Q2os	Qi	oQn	Qi
128	Q2ZERO	Q2tos	Q2ZERO	Q2ta	Qton	Q2ta
2145	Q3ZERO	Q2tos	Q3ZERO	Q2ta	Qton	Q2ta
107	Q2o	Qatos	Q2o	Qata	aQton	Qata
7	Q2s	Q2tos	Q2s	Q2ta	Qton	Q2ta
3	Qs	toQs	Qs	Qta	Qton	Qta
11	QZERO	Qtos	QZERO	Qta	Qton	Qta
13	Q2ZERO	Q2tos	Q2ZERO	Q2ta	Qton	Q2ta
