class	typeFreq	nom.sg	gen.sg	loc.sg	nom.pl	gen.pl	loc.pl
I	61	Ø	Ø	Ø	Ø	ni	ni
II	52	Ø	kä	kä	Ø	ni	ni
III	45	Ø	kä	kä	ni	ni	ni
IV	23	Ø	Ø	Ø	ni	ni	ni
V	11	Ø	Ø	Ø	Ø	Ø	Ø
VI	10	Ø	Ø	kä	Ø	ni	ni
VII	9	Ø	kä	Ø	ni	ni	ni
VIII	8	Ø	Ø	Ø	Ø	ni	Ø
IX	5	Ø	kä	Ø	Ø	ni	ni
X	3	Ø	Ø	kä	ni	ni	ni
XI	2	Ø	kä	kä	Ø	ni	Ø
XII	2	Ø	kä	kä	Ø	Ø	ni
XIII	2	Ø	Ø	Ø	Ø	Ø	ni
XIV	1	Ø	kä	kä	Ø	Ø	Ø
XV	1	Ø	kä	Ø	Ø	ni	Ø
XVI	1	Ø	Ø	kä	Ø	Ø	ni
XVII	4	Ø	ä	ä	ni	ni	ni
XVIII	2	Ø	ä	ä	Ø	ni	ni
XIX	2	Ø	kä	ä	ni	ni	ni
XX	2	Ø	kä	ä	Ø	ni	ni
XXI	1	Ø	Ø	ä	Ø	ni	ni
XXII	1	Ø	ä	kä	Ø	ni	ni
XXIII	2	Ø	Ø	ä	ni	ni	ni
XXIV	1	Ø	kä	kä	ni	Ø	ni
XXV	1	Ø	kä	kä	Ø	kä	ni
