typeFreq	1SgProg	1PlProg	2Prog	3Prog	1SgInt	1PlInt	2Int	3Int	1SgComp	1PlComp	2Comp	3Comp
17	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹	¹	¹³	¹	¹
1	¹²	¹²	²	¹²	¹³	¹³	´³	¹	¹	¹³	²	¹
6	¹²	²	²	¹²	¹³	´³	´³	¹	¹	´³	²	¹
1	´²	²	²	¹²	´³	´³	´³	¹	´²	´³	²	¹
1	¹²	¹²	²	¹²	¹³	¹³	´³	¹	¹	¹³	`³	¹
65	¹²	²	²	¹²	¹³	´³	´³	¹	¹	´³	`³	¹
1	´²	²	²	¹²	´³	¹³	´³	¹	´²	¹³	`³	¹
12	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹	¹	¹³	¹³	¹
2	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹	¹	¹³	¹²	¹
8	´²	¹²	¹²	¹²	´³	¹³	¹³	¹	´²	¹³	¹²	¹
1	´²	²	¹²	¹²	´³	¹³	¹³	¹	´²	¹³	¹²	¹
1	¹²	²	²	¹²	¹³	´³	´³	¹	¹	´³	¹	¹
4	´²	¹²	²	¹²	´³	¹³	´³	¹	´²	¹³	¹	¹
3	´²	²	²	¹²	´³	´³	´³	¹	´²	´³	¹	¹
1	´²	²	²	¹²	´³	¹³	´³	¹	´²	¹³	¹	¹
6	¹²	¹²	²	¹²	¹³	¹³	´³	¹	¹	¹³	¹²	¹
1	´²	²	²	¹²	´³	´³	´³	¹	´²	´³	¹²	¹
6	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹	¹	¹³	`³	¹
1	´²	¹²	¹²	¹²	´³	¹³	¹³	¹	´²	¹³	`³	¹
2	`³	¹³	`³	¹²	`³	¹³	`³	¹	`³	¹³	`³	¹
1	`³	¹²	`³	¹²	`³	¹³	`³	¹	`³	¹³	`³	¹
3	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹	¹	¹³	¹	´²
12	¹²	²	²	¹²	¹³	´³	´³	¹	¹	´³	²	´²
1	¹²	¹²	²	¹²	¹³	¹³	´³	¹	¹	¹³	¹²	´²
1	¹²	¹²	¹²	¹²	¹³	¹³	¹³	¹²	¹	¹³	¹	¹²
1	´²	¹²	²	¹²	´³	¹³	´³	¹²	´²	¹³	²	¹²
2	´²	²	²	¹²	´³	´³	´³	¹²	´²	´³	²	¹²
3	´²	²	²	¹²	´³	¹³	´³	¹²	´²	¹³	²	¹²
1	´²	`³	¹²	¹²	´²	`³	¹²	¹²	´²	`³	¹²	¹²
