typeFreq	suffix_sg.pfv	suffix_sg.ipfv	suffix_pl.pfv	suffix_pl.ipfv
4	#	#	#	#
2	#	am	#	#
7	#	tim	#	#
1	t	tim	#	#
1	ta	tim	#	#
1	ot	#	tox	#
7	#	tim	iko<U+026C>	iko<U+026C>
3	#	tim	k	ka
1	#	am	ka	ka
2	#	ka	ka	ka
1	#	tim	ka	ka
1	t	tim	#	kam
1	#	#	k	kam
8	#	tim	kam	kam
2	tim	tim	kam	kam
1	tam	tox	kam	kam
2	#	k	kox	kam
1	#	tim	tam	kam
1	tim	tim	tox	kam
1	tam	tox	tox	kam
1	i	tim	kox	ko<U+026C>ka
1	#	tim	x	ko<U+026C>ka
1	#	#	#	k
1	#	#	k	k
15	#	tim	k	k
16	#	tim	k	kox
5	#	#	ka	kox
1	#	tim	ka	kox
2	#	#	kox	kox
4	#	k	kox	kox
6	#	ka	kox	kox
1	ta	ka	kox	kox
1	#	kam	kox	kox
1	#	ta	kox	kox
16	#	tim	kox	kox
1	i	tim	kox	kox
1	k	tim	kox	kox
1	t	tim	kox	kox
2	#	#	tox	kox
1	#	ta	tox	kox
1	#	tim	tox	kox
1	#	tim	k	<U+026C>
1	#	<U+026C>	<U+026C>	<U+026C>
3	#	tim	<U+026C>	<U+026C>
1	#	ta	k	<U+026C>a
1	#	tim	x	<U+026C>i<U+026C>ka
1	#	#	#	<U+026C>ka
1	k	#	#	<U+026C>ka
3	#	tim	#	<U+026C>ka
1	#	tim	i	<U+026C>ka
6	#	#	k	<U+026C>ka
1	k	#	k	<U+026C>ka
3	#	ta	k	<U+026C>ka
27	#	tim	k	<U+026C>ka
2	k	tim	k	<U+026C>ka
1	ot	tim	k	<U+026C>ka
2	tax	tim	k	<U+026C>ka
1	k	#	<U+026C>	<U+026C>ka
1	#	ka	<U+026C>	<U+026C>ka
5	#	ta	<U+026C>	<U+026C>ka
19	#	tim	<U+026C>	<U+026C>ka
1	ix	tim	<U+026C>	<U+026C>ka
1	k	tim	<U+026C>	<U+026C>ka
2	tim	tim	<U+026C>	<U+026C>ka
2	#	#	<U+026C>ka	<U+026C>ka
1	ot	#	<U+026C>ka	<U+026C>ka
2	#	tim	<U+026C>ka	<U+026C>ka
1	#	tim	tox	<U+026C>ka
1	#	#	x	<U+026C>ka
2	#	tim	x	<U+026C>ka
2	#	tim	x	<U+026C>kam
1	#	tim	<U+03C7>am	<U+026C>kam
1	#	tim	k	<U+026C>kox
1	#	#	<U+026C>ka	<U+026C>kox
1	#	tim	<U+03C7>am	<U+026C>o<U+026C>ka
1	ta	tim	tax	ta<U+026C>k
2	#	tim	tam	tix
1	i	tim	tix	tix
2	#	tim	to	to
1	#	am	#	to<U+026C>ka
2	#	in	#	to<U+026C>ka
24	#	tim	#	to<U+026C>ka
2	ot	tim	#	to<U+026C>ka
1	t	tim	#	to<U+026C>ka
1	tim	tim	#	to<U+026C>ka
3	#	tim	at	to<U+026C>ka
