lexeme	1sg_russkii.lex	1sg_mp7/seed_output.lex	1sg_mp7/gen0_output.lex	1sg_mp7/gen1_output.lex	1sg_mp7/gen2_output.lex	1sg_mp7/gen3_output.lex	1sg_mp7/gen4_output.lex	1sg_mp7/gen5_output.lex	1sg_mp7/gen6_output.lex	1sg_mp7/gen7_output.lex	1sg_mp7/gen8_output.lex	1sg_mp7/gen9_output.lex	3sg3pl_russkii.lex	3sg3pl_mp7/seed_output.lex	3sg3pl_mp7/gen0_output.lex	3sg3pl_mp7/gen1_output.lex	3sg3pl_mp7/gen2_output.lex	3sg3pl_mp7/gen3_output.lex	3sg3pl_mp7/gen4_output.lex	3sg3pl_mp7/gen5_output.lex	3sg3pl_mp7/gen6_output.lex	3sg3pl_mp7/gen7_output.lex	3sg3pl_mp7/gen8_output.lex	3sg3pl_mp7/gen9_output.lex	freq_russkii.lex	freq_mp7/seed_output.lex	freq_mp7/gen0_output.lex	freq_mp7/gen1_output.lex	freq_mp7/gen2_output.lex	freq_mp7/gen3_output.lex	freq_mp7/gen4_output.lex	freq_mp7/gen5_output.lex	freq_mp7/gen6_output.lex	freq_mp7/gen7_output.lex	freq_mp7/gen8_output.lex	freq_mp7/gen9_output.lex	gappy_russkii.lex	gappy_mp7/seed_output.lex	gappy_mp7/gen0_output.lex	gappy_mp7/gen1_output.lex	gappy_mp7/gen2_output.lex	gappy_mp7/gen3_output.lex	gappy_mp7/gen4_output.lex	gappy_mp7/gen5_output.lex	gappy_mp7/gen6_output.lex	gappy_mp7/gen7_output.lex	gappy_mp7/gen8_output.lex	gappy_mp7/gen9_output.lex
авралить	0	5	14	14	28	17	12	9	10	4	2	2	1	48	49	45	37	66	59	68	59	51	69	68	1	59	79	70	71	97	93	91	76	61	87	93	0.0161775601712	0.000426846316407	2.42350908503e-11	4.28013233863e-12	3.58679930329e-30	4.43355732632e-13	1.86786080448e-08	5.64602838458e-06	1.39085627222e-07	0.00281291104713	0.126835671814	0.148365929432
артачиться	1	73	100	111	87	114	103	115	123	110	84	106	15	869	949	992	945	1058	1010	1131	1154	1103	1030	1081	17	1050	1152	1221	1165	1341	1267	1410	1486	1424	1372	1435	0.0147514236984	2.41599642777e-20	1.44484360863e-34	6.56978978217e-40	7.76894833027e-26	3.76575977577e-38	4.10715471157e-33	9.00100453923e-37	9.0347142665e-40	3.25369278962e-33	1.517311693e-19	1.74744441293e-30
баламутить	1	83	76	42	59	55	51	40	35	50	58	44	12	755	789	742	737	647	661	591	636	624	704	683	14	905	957	849	870	796	861	768	833	823	936	852	0.0105034979456	7.73127554635e-31	1.54255016236e-24	2.89687690542e-08	1.87577776619e-16	7.38213791711e-16	2.54976571412e-12	1.37363266762e-08	1.15910154753e-05	1.57167034392e-12	1.67008456604e-14	4.1848533786e-09
баламутиться	0	13	20	14	9	9	13	7	2	2	5	1	2	85	89	104	53	95	74	60	66	76	81	83	2	146	151	173	93	140	123	86	85	92	97	99	0.0195124700701	6.39595572759e-07	1.78200061988e-12	1.00151407672e-06	6.84731900865e-06	0.000225567951133	7.78917147084e-08	0.000127854511476	0.11997196315	0.144683955423	0.00558115972805	0.366970643297
банкротить	0	51	53	50	52	63	57	49	50	41	27	27	30	1737	1691	1656	1650	1455	1379	1396	1343	1339	1352	1301	31	1937	1882	1781	1798	1643	1563	1605	1538	1532	1547	1482	0.190384298585	0.0172748472559	0.00470735335501	0.00596262547376	0.00298046293595	4.26843144043e-07	5.78421694297e-06	0.00125820024521	0.000292483012669	0.0207437751277	0.674239807991	0.585514378467
банкротиться	0	84	80	62	38	43	65	89	102	108	97	99	28	1586	1672	1777	1781	1718	1713	1676	1643	1794	1801	1977	28	1792	1872	1963	1944	1886	1888	1914	1906	2033	2035	2212	0.168481141243	5.71193876159e-13	1.56798408666e-10	0.0001701691617	0.461412620623	0.140115953097	1.01494481603e-05	2.06845548626e-13	5.0155314341e-19	9.08276733493e-20	4.72462656296e-15	1.16164686294e-13
басить	0	85	80	63	48	51	53	87	82	64	62	66	50	3004	2787	2718	2664	2813	2701	2592	2470	2281	2147	2230	50	3176	2945	2903	2812	2983	2844	2763	2663	2468	2315	2422	0.325990477717	0.00291288740006	0.00249366015075	0.201710669958	0.823357304333	0.830799293697	0.626760059343	1.65400271688e-05	5.62820776072e-05	0.0136994452944	0.00791550121238	0.00456792827978
батрачить	0	48	55	79	105	78	108	124	113	78	64	61	9	576	633	595	566	524	640	528	592	559	573	593	14	878	980	992	976	901	1062	956	983	873	821	863	0.0767141976497	1.52953854328e-10	3.59814467938e-12	1.78163361737e-25	1.57979292047e-44	1.64465162933e-27	2.10553299003e-43	3.96237474486e-61	1.38688486239e-50	2.09499196165e-28	1.12018074635e-20	8.99555375049e-18
бдеть	1	120	125	148	166	188	147	188	194	203	221	197	75	4667	4689	4895	4940	5015	4953	4767	4676	4849	4738	4859	85	5338	5402	5630	5647	5797	5664	5511	5409	5621	5562	5666	0.290544949312	0.079622682557	0.0405458158573	0.000414210673341	6.54175960929e-07	1.28002330754e-10	0.000715148448708	2.21950944205e-12	1.24612604019e-14	1.70469645079e-15	3.0519071017e-21	1.34476421753e-13
безобразить	0	53	40	36	42	51	47	45	37	29	25	47	6	369	411	378	343	360	383	356	339	259	303	299	9	561	609	540	513	545	578	513	497	415	455	464	0.0495088330329	2.67919837474e-21	1.51875318888e-11	8.04088030358e-11	3.16051037019e-15	2.03495449135e-20	1.32174497007e-16	2.94218574242e-17	1.81709305355e-12	1.12913822264e-09	1.20491798287e-06	1.89602519361e-20
