lexeme	1sg_russkii.lex	1sg_nomp6/seed_output.lex	1sg_nomp6/gen0_output.lex	1sg_nomp6/gen1_output.lex	1sg_nomp6/gen2_output.lex	1sg_nomp6/gen3_output.lex	1sg_nomp6/gen4_output.lex	1sg_nomp6/gen5_output.lex	1sg_nomp6/gen6_output.lex	1sg_nomp6/gen7_output.lex	1sg_nomp6/gen8_output.lex	1sg_nomp6/gen9_output.lex	3sg3pl_russkii.lex	3sg3pl_nomp6/seed_output.lex	3sg3pl_nomp6/gen0_output.lex	3sg3pl_nomp6/gen1_output.lex	3sg3pl_nomp6/gen2_output.lex	3sg3pl_nomp6/gen3_output.lex	3sg3pl_nomp6/gen4_output.lex	3sg3pl_nomp6/gen5_output.lex	3sg3pl_nomp6/gen6_output.lex	3sg3pl_nomp6/gen7_output.lex	3sg3pl_nomp6/gen8_output.lex	3sg3pl_nomp6/gen9_output.lex	freq_russkii.lex	freq_nomp6/seed_output.lex	freq_nomp6/gen0_output.lex	freq_nomp6/gen1_output.lex	freq_nomp6/gen2_output.lex	freq_nomp6/gen3_output.lex	freq_nomp6/gen4_output.lex	freq_nomp6/gen5_output.lex	freq_nomp6/gen6_output.lex	freq_nomp6/gen7_output.lex	freq_nomp6/gen8_output.lex	freq_nomp6/gen9_output.lex	gappy_russkii.lex	gappy_nomp6/seed_output.lex	gappy_nomp6/gen0_output.lex	gappy_nomp6/gen1_output.lex	gappy_nomp6/gen2_output.lex	gappy_nomp6/gen3_output.lex	gappy_nomp6/gen4_output.lex	gappy_nomp6/gen5_output.lex	gappy_nomp6/gen6_output.lex	gappy_nomp6/gen7_output.lex	gappy_nomp6/gen8_output.lex	gappy_nomp6/gen9_output.lex
авралить	0	8	19	14	9	1	1	0	5	0	4	4	1	44	54	35	36	45	36	56	43	49	62	40	1	65	101	71	73	60	50	72	56	65	69	48	0.0161775601712	2.28717630145e-06	7.12633399627e-15	5.24990514543e-12	7.75837830141e-07	0.160171211649	0.114414632393	0.483512989787	0.000322891009424	0.437090429337	0.00481683615779	0.000969743224832
артачиться	1	63	77	100	98	109	104	96	106	86	76	94	15	939	836	877	804	860	883	904	1027	916	896	851	17	1135	1071	1172	1125	1179	1191	1173	1325	1171	1112	1072	0.0147514236984	2.24378110282e-13	3.50583294583e-22	5.99462594712e-34	4.67502189793e-34	6.50770539754e-40	4.67689312289e-36	2.78697610085e-31	2.12947453085e-33	4.42966252146e-25	1.22670446737e-20	5.24241387159e-33
баламутить	1	87	96	99	77	86	51	53	63	80	80	60	12	719	646	606	523	496	557	623	583	640	628	679	14	883	818	783	680	635	704	792	782	849	861	868	0.0105034979456	1.67890475588e-34	3.28218234366e-44	2.03379823995e-48	5.62225736015e-35	7.55168598149e-45	1.02227589831e-15	8.31823530357e-15	3.95975938145e-21	1.25764527061e-30	3.27508763456e-30	4.51107735877e-17
баламутиться	0	15	15	15	6	4	3	1	4	2	1	5	2	101	95	82	82	80	77	79	65	82	98	103	2	131	140	128	108	97	94	99	94	100	116	140	0.0195124700701	3.94891869593e-09	1.02372084153e-08	2.82585209343e-09	0.00253790335713	0.0200602848361	0.0563533989434	0.366970643297	0.0176705800034	0.175096630458	0.457480962376	0.0310131942513
банкротить	0	14	28	10	22	19	36	33	32	55	72	88	30	1824	1728	1742	1719	1647	1402	1404	1409	1656	1606	1554	31	1955	1863	1878	1861	1806	1602	1610	1604	1851	1807	1737	0.190384298585	0.999992613345	0.908761707548	0.99999974161	0.992537948128	0.997838942538	0.172615714109	0.344352461019	0.402244281714	0.00136619498886	1.84815001812e-08	2.29825990264e-15
банкротиться	0	23	24	42	50	34	34	37	48	47	52	112	28	1659	1615	1553	1496	1475	1427	1391	1369	1140	975	1032	28	1750	1700	1678	1651	1673	1653	1589	1601	1352	1137	1284	0.168481141243	0.97087767456	0.938280431135	0.0492467414533	0.00136357039555	0.363625540628	0.337424527243	0.122964641325	0.00196884699857	9.05658756219e-05	1.50760497458e-08	1.45134346648e-38
басить	0	48	56	38	47	33	27	24	22	29	33	29	50	2994	3027	3051	3005	2928	2687	2769	2698	2602	2363	2220	50	3154	3153	3168	3120	3019	2774	2880	2795	2698	2487	2391	0.325990477717	0.963663191988	0.764133557381	0.999424604481	0.967823288264	0.999854638339	0.999966878978	0.999999180558	0.999999590558	0.99977535369	0.989524514627	0.996610878107
батрачить	0	35	42	39	63	54	59	47	81	88	98	107	9	526	569	627	703	629	666	662	678	741	866	781	14	845	906	907	1033	925	955	972	1027	1080	1182	1093	0.0767141976497	1.56983168106e-05	1.73454028993e-07	2.62340881902e-06	3.23195921669e-15	1.18393188126e-12	1.18259932825e-14	1.13800953306e-08	8.92433402145e-26	9.01602353725e-29	2.52423753042e-32	1.68452689591e-41
бдеть	1	95	97	81	76	94	95	89	103	95	100	81	75	4642	4484	4424	4467	4254	4269	4387	4278	4228	4298	4245	85	5323	5222	5159	5242	5015	5013	5213	5044	4854	4843	4787	0.290544949312	0.839400683895	0.723858233032	0.983451927358	0.99765130746	0.687831933641	0.64930854686	0.91826698721	0.359508349497	0.524524993882	0.319078180195	0.919367041331
безобразить	0	18	30	25	23	20	9	18	21	20	24	6	6	400	423	417	526	517	571	576	534	538	548	626	9	588	617	535	629	615	640	641	591	576	609	696	0.0495088330329	0.0192333593216	2.16813532125e-06	2.14374802567e-05	0.0013905722998	0.00858634880345	0.749194238889	0.0410345331918	0.00275309021579	0.00418207297957	0.000406958678961	0.971246284909
