lexeme	1sg_russkii.lex	1sg_mp6/seed_output.lex	1sg_mp6/gen0_output.lex	1sg_mp6/gen1_output.lex	1sg_mp6/gen2_output.lex	1sg_mp6/gen3_output.lex	1sg_mp6/gen4_output.lex	1sg_mp6/gen5_output.lex	1sg_mp6/gen6_output.lex	1sg_mp6/gen7_output.lex	1sg_mp6/gen8_output.lex	1sg_mp6/gen9_output.lex	3sg3pl_russkii.lex	3sg3pl_mp6/seed_output.lex	3sg3pl_mp6/gen0_output.lex	3sg3pl_mp6/gen1_output.lex	3sg3pl_mp6/gen2_output.lex	3sg3pl_mp6/gen3_output.lex	3sg3pl_mp6/gen4_output.lex	3sg3pl_mp6/gen5_output.lex	3sg3pl_mp6/gen6_output.lex	3sg3pl_mp6/gen7_output.lex	3sg3pl_mp6/gen8_output.lex	3sg3pl_mp6/gen9_output.lex	freq_russkii.lex	freq_mp6/seed_output.lex	freq_mp6/gen0_output.lex	freq_mp6/gen1_output.lex	freq_mp6/gen2_output.lex	freq_mp6/gen3_output.lex	freq_mp6/gen4_output.lex	freq_mp6/gen5_output.lex	freq_mp6/gen6_output.lex	freq_mp6/gen7_output.lex	freq_mp6/gen8_output.lex	freq_mp6/gen9_output.lex	gappy_russkii.lex	gappy_mp6/seed_output.lex	gappy_mp6/gen0_output.lex	gappy_mp6/gen1_output.lex	gappy_mp6/gen2_output.lex	gappy_mp6/gen3_output.lex	gappy_mp6/gen4_output.lex	gappy_mp6/gen5_output.lex	gappy_mp6/gen6_output.lex	gappy_mp6/gen7_output.lex	gappy_mp6/gen8_output.lex	gappy_mp6/gen9_output.lex
авралить	0	2	8	0	0	0	0	0	0	0	0	0	1	63	59	51	61	8	5	0	0	0	0	0	1	71	73	62	84	17	10	0	0	0	0	0	0.0161775601712	0.0768549892972	5.8908313348e-06	0.416505804404	0.557292067539	0.0948029053317	0.0546159500341	0.0	0.0	0.0	0.0	0.0
артачиться	1	56	71	78	102	102	157	172	202	161	164	141	15	938	891	978	1040	983	974	871	882	894	932	865	17	1053	1027	1116	1215	1194	1229	1118	1167	1126	1191	1127	0.0147514236984	1.94739553506e-11	1.00415591092e-19	1.08002217563e-21	5.58120903598e-34	1.2939100384e-34	1.33855833394e-75	1.48859317036e-95	1.08683305375e-121	8.82944855681e-85	8.82318371573e-84	4.77406453278e-67
баламутить	1	84	69	77	67	39	52	68	67	33	53	75	12	705	684	710	786	882	836	737	737	671	696	783	14	886	870	914	984	1037	1031	940	918	812	869	989	0.0105034979456	3.32001885319e-32	1.6894799876e-22	1.93959792889e-26	2.01890869193e-18	5.47526825419e-05	5.59956746815e-10	4.8150889133e-20	5.43667772903e-20	3.60879476198e-05	3.36833887852e-13	4.80486275949e-23
баламутиться	0	3	6	4	1	3	5	2	2	0	1	0	2	111	137	114	109	131	74	43	27	41	43	47	2	124	157	139	135	153	87	51	29	43	53	58	0.0195124700701	0.129209943907	0.0192364607603	0.0779133990665	0.551465551604	0.225151810612	0.00323912127281	0.0321941705251	0.00686860532935	0.279028604434	0.127574185626	0.388482372294
банкротить	0	38	42	54	61	47	38	52	45	60	46	17	30	1851	1800	1825	1755	1795	1751	1867	1870	1749	1683	1726	31	1981	1927	1964	1872	1910	1842	1956	1956	1840	1733	1751	0.190384298585	0.508921388603	0.215756405864	0.00701861228217	8.16809290173e-05	0.053588395429	0.332253662505	0.0140942018281	0.124460278135	8.95145260829e-05	0.0187253263051	0.144385056955
банкротиться	0	3	9	23	36	62	41	32	30	32	17	9	28	1727	1917	1931	1930	1895	1811	1764	1885	1860	1628	1699	28	1749	1939	1974	1978	1978	1878	1838	1947	1907	1675	1738	0.168481141243	0.0540758218858	0.0137932281511	0.874589407134	0.613596646562	0.000207959159305	0.213828077098	0.710090554136	0.893677333741	0.763388032162	0.995531092341	0.912512347275
басить	0	31	40	27	35	20	45	56	61	49	50	39	50	3131	3356	3422	3285	3087	3256	2993	3092	3058	3102	3258	50	3179	3412	3467	3345	3133	3322	3068	3178	3129	3161	3300	0.325990477717	0.064837840874	0.151460412892	0.00461974141063	0.358352172847	0.0469854463525	0.665048260063	0.682963814798	0.554048327458	0.885804444049	0.45765618902	0.00428460589431
батрачить	0	12	10	19	47	48	56	49	47	65	46	46	9	543	544	610	653	714	672	806	754	698	724	732	14	853	847	911	985	1111	1136	1316	1244	1284	1277	1287	0.0767141976497	0.817144743804	0.921597852268	0.300516807748	1.70951942577e-08	2.49606774118e-07	3.36101116126e-10	1.22172684934e-05	1.18961042294e-05	5.8711227527e-12	4.53972445725e-05	5.46068464474e-05
бдеть	1	70	57	87	101	102	74	111	135	117	131	93	75	4632	4840	4817	4625	4395	4560	4900	4836	4993	4730	4875	85	5325	5617	5637	5432	5098	5164	5492	5428	5561	5336	5425	0.290544949312	0.999864045813	0.999999991656	0.991710997232	0.726504073045	0.43974567186	0.998127519271	0.400005679765	0.0046279103644	0.245790749112	0.00761048008428	0.917599112119
безобразить	0	12	4	1	1	0	0	1	0	0	2	15	6	355	314	358	338	309	340	412	394	324	282	301	9	542	553	574	534	531	542	591	577	533	521	561	0.0495088330329	0.218695084702	0.968741939783	0.999359105773	0.998737368244	0.999780213968	0.999820723701	0.999520746073	0.999906446939	0.999788200746	0.993736062744	0.0699387928784
