lexeme	1sg_russkii.lex	1sg_nomp7/seed_output.lex	1sg_nomp7/gen0_output.lex	1sg_nomp7/gen1_output.lex	1sg_nomp7/gen2_output.lex	1sg_nomp7/gen3_output.lex	1sg_nomp7/gen4_output.lex	1sg_nomp7/gen5_output.lex	1sg_nomp7/gen6_output.lex	1sg_nomp7/gen7_output.lex	1sg_nomp7/gen8_output.lex	1sg_nomp7/gen9_output.lex	3sg3pl_russkii.lex	3sg3pl_nomp7/seed_output.lex	3sg3pl_nomp7/gen0_output.lex	3sg3pl_nomp7/gen1_output.lex	3sg3pl_nomp7/gen2_output.lex	3sg3pl_nomp7/gen3_output.lex	3sg3pl_nomp7/gen4_output.lex	3sg3pl_nomp7/gen5_output.lex	3sg3pl_nomp7/gen6_output.lex	3sg3pl_nomp7/gen7_output.lex	3sg3pl_nomp7/gen8_output.lex	3sg3pl_nomp7/gen9_output.lex	freq_russkii.lex	freq_nomp7/seed_output.lex	freq_nomp7/gen0_output.lex	freq_nomp7/gen1_output.lex	freq_nomp7/gen2_output.lex	freq_nomp7/gen3_output.lex	freq_nomp7/gen4_output.lex	freq_nomp7/gen5_output.lex	freq_nomp7/gen6_output.lex	freq_nomp7/gen7_output.lex	freq_nomp7/gen8_output.lex	freq_nomp7/gen9_output.lex	gappy_russkii.lex	gappy_nomp7/seed_output.lex	gappy_nomp7/gen0_output.lex	gappy_nomp7/gen1_output.lex	gappy_nomp7/gen2_output.lex	gappy_nomp7/gen3_output.lex	gappy_nomp7/gen4_output.lex	gappy_nomp7/gen5_output.lex	gappy_nomp7/gen6_output.lex	gappy_nomp7/gen7_output.lex	gappy_nomp7/gen8_output.lex	gappy_nomp7/gen9_output.lex
авралить	0	2	17	10	6	6	8	4	9	15	10	19	1	59	41	62	74	77	72	58	63	121	77	106	1	68	76	91	99	99	100	90	90	164	105	145	0.0161775601712	0.0688304116117	6.30182798022e-15	8.42002430471e-07	0.00153279634784	0.00153279634784	7.20594690803e-05	0.0147983454481	5.11758552962e-06	9.44257959573e-08	3.42124687185e-06	6.61687287892e-12
артачиться	1	65	54	47	63	92	67	87	71	71	77	66	15	829	757	657	661	719	699	569	609	553	569	493	17	1071	975	864	931	981	913	800	824	787	822	729	0.0147514236984	1.60953545624e-15	8.95370281102e-12	2.66694711707e-10	2.39368010044e-17	1.2601390368e-34	4.07408568469e-20	9.0784317899e-38	3.57907740735e-25	2.31586513149e-26	2.03689984147e-29	8.64958668979e-25
баламутить	1	183	182	178	162	137	163	98	80	50	48	49	12	580	526	512	561	575	583	688	636	672	603	665	14	942	885	905	959	941	991	987	930	979	918	975	0.0105034979456	1.06068172691e-119	1.22914020738e-123	1.73134584107e-117	1.4480911643e-96	1.22471446685e-73	2.68388042616e-95	8.910852046e-39	5.84344386069e-28	7.24695551279e-10	6.73817878919e-10	1.74281186324e-09
баламутиться	0	13	2	11	14	12	20	18	14	4	1	4	2	91	99	99	91	94	90	69	67	18	16	35	2	122	132	147	137	138	150	110	105	23	22	50	0.0195124700701	7.03464712368e-08	0.312100092999	1.78379626179e-05	4.86845296611e-08	1.80860872244e-06	1.56678016556e-12	3.85241230291e-13	1.32117223799e-09	3.70739197998e-05	0.0236943916345	0.00116398136941
банкротить	0	112	122	137	118	140	143	179	162	143	162	172	30	1594	1735	1766	1854	1791	1884	1851	1667	1574	1609	1533	31	2080	2215	2332	2350	2311	2337	2386	2168	2001	2019	1971	0.190384298585	7.56409393285e-21	2.7111876523e-23	1.73281462096e-28	1.77049670891e-19	2.25442789032e-30	2.06667336615e-31	1.76685183477e-50	9.70986986904e-46	1.454400062e-38	1.06587927169e-49	1.11093330631e-57
банкротиться	0	77	106	107	127	152	205	252	265	271	330	304	28	1488	1576	1643	1711	1708	1722	1626	1681	1827	1769	2052	28	1789	1884	1933	2046	2065	2165	2094	2156	2297	2321	2631	0.168481141243	2.33291641222e-10	3.04899098415e-21	6.71758273559e-21	9.19695218659e-29	2.55490397453e-42	3.13018964534e-74	1.86767735083e-113	2.44110892545e-121	1.15602331734e-119	1.49156086969e-169	2.24342791608e-131
басить	0	121	93	74	110	122	117	114	125	192	205	276	50	2883	2936	3019	2881	2917	2954	2993	3043	3225	3423	3688	50	3258	3288	3372	3340	3417	3464	3523	3572	3937	4122	4382	0.325990477717	7.93935955621e-11	0.000393714859999	0.166089512812	2.33558325253e-07	7.00233230187e-10	2.91888266657e-08	3.50106341512e-07	1.46501329183e-09	1.35398775583e-28	1.87969749185e-31	1.45916116343e-60
батрачить	0	101	95	43	61	61	43	32	28	43	35	36	9	564	546	589	649	582	501	422	438	458	409	470	14	864	809	755	826	793	670	539	565	584	558	627	0.0767141976497	3.3721097708e-46	8.37498328218e-44	3.09072375611e-10	1.0972069823e-18	1.50164878969e-19	6.83082160214e-12	1.18071452105e-08	2.85181471145e-06	6.66759645462e-14	7.14506262455e-10	4.74395693445e-09
бдеть	1	210	175	154	175	189	199	197	240	308	314	305	75	4462	4476	4523	4892	4800	4773	4844	4870	4577	4458	4588	85	5399	5279	5337	5729	5654	5689	5848	5905	5704	5589	5682	0.290544949312	2.72122058886e-19	1.00339562439e-10	4.05526157423e-06	3.08413356299e-08	1.04122208911e-11	5.96052070668e-14	2.11857814464e-12	4.09173428614e-24	4.86595112371e-53	1.23361136638e-57	4.95441936113e-52
безобразить	0	40	35	44	53	47	45	33	65	73	34	22	6	378	381	335	287	341	349	328	388	311	259	201	9	544	504	480	428	474	466	431	544	458	371	283	0.0495088330329	4.2891790372e-13	4.43091682204e-11	1.17833280695e-17	7.10219471216e-27	4.58604060866e-20	7.07236369215e-19	9.95730180202e-12	2.30819573262e-31	1.82066963492e-43	2.93548368377e-14	8.58372000778e-09
